vertices,cubes,threads,frame,updateVBO
320000,40000,1,100.094,57.3527
320000,40000,1,101.209,57.4684
320000,40000,1,96.8158,53.9568
320000,40000,1,111.201,51.3715
320000,40000,1,109.112,50.8508
320000,40000,1,94.6061,50.951
320000,40000,1,97.8624,51.4076
320000,40000,1,114.06,54.6502
320000,40000,1,111.158,53.1306
320000,40000,1,234.52,52.3392
320000,40000,1,114.672,66.3042
320000,40000,1,95.2712,52.7974
320000,40000,1,98.9109,56.2271
320000,40000,1,136.439,76.4313
320000,40000,1,117.023,64.8785
320000,40000,1,93.7212,52.3104
320000,40000,1,126.962,66.6346
320000,40000,1,166.68,77.6734
320000,40000,1,114.217,62.8242
320000,40000,1,100.944,56.9834
320000,40000,1,96.6655,52.9243
320000,40000,1,92.9066,53.1436
320000,40000,1,92.2799,51.4208
320000,40000,1,89.6701,50.4688
320000,40000,1,135.677,79.9863
320000,40000,1,144.344,98.5168
320000,40000,1,109.652,61.1901
320000,40000,1,105.874,62.8665
320000,40000,1,118.122,52.7358
320000,40000,1,116.113,73.189
320000,40000,1,91.0477,51.5908
320000,40000,1,91.7685,50.8227
320000,40000,1,91.3201,50.7833
320000,40000,1,115.883,51.4319
320000,40000,1,131.073,57.4238
320000,40000,1,99.3212,57.895
320000,40000,1,91.4675,51.8349
320000,40000,1,90.6757,50.6942
320000,40000,1,90.4077,51.0083
320000,40000,1,92.4327,52.4216
320000,40000,1,93.9437,53.3091
320000,40000,1,90.8097,50.9288
320000,40000,1,150.644,93.386
320000,40000,1,93.4475,53.361
320000,40000,1,91.773,50.4922
320000,40000,1,92.2823,51.0534
320000,40000,1,90.2365,50.448
320000,40000,1,90.7085,50.9406
320000,40000,1,92.259,51.2144
320000,40000,1,91.1486,51.0539
320000,40000,1,91.3082,51.5926
320000,40000,1,93.8928,51.7244
320000,40000,1,143.948,102.724
320000,40000,1,91.5031,50.5643
320000,40000,1,151.303,104.228
320000,40000,1,92.6869,51.2862
320000,40000,1,106.369,50.6108
320000,40000,1,193.994,114.928
320000,40000,1,141.241,83.6657
320000,40000,1,122.623,75.9948
320000,40000,1,107.028,52.0418
320000,40000,1,93.6488,52.5365
320000,40000,1,123.537,62.1551
320000,40000,1,95.7953,53.7144
320000,40000,1,93.4167,53.1752
320000,40000,1,90.8996,51.4475
320000,40000,1,217.72,112.309
320000,40000,1,107.527,62.0702
320000,40000,1,224.128,76.8007
320000,40000,1,152.854,71.0953
320000,40000,1,132.387,78.1804
320000,40000,1,120.371,64.565
320000,40000,1,130.872,77.1542
320000,40000,1,114.166,63.5115
320000,40000,1,114.066,65.9989
320000,40000,1,156.843,83.3203
320000,40000,1,123.863,73.123
320000,40000,1,111.757,61.6103
320000,40000,1,121.556,66.2399
320000,40000,1,98.9995,54.7394
320000,40000,1,107.969,59.6062
320000,40000,1,102.761,58.6091
320000,40000,1,110.946,62.2435
320000,40000,1,106.398,61.6074
320000,40000,1,110.655,56.3512
320000,40000,1,107.476,55.3649
320000,40000,1,111.241,65.1349
320000,40000,1,107.765,56.4893
320000,40000,1,111.708,56.2316
320000,40000,1,106.632,62.6608
320000,40000,1,107.368,61.2634
320000,40000,1,145.082,66.4345
320000,40000,1,101.195,57.3355
320000,40000,1,103.595,57.7642
320000,40000,1,107.74,55.7647
320000,40000,1,101.005,55.1529
320000,40000,1,99.8821,55.9765
320000,40000,1,99.8688,56.6666
320000,40000,1,129.03,79.2742
320000,40000,1,123.327,58.1087
320000,40000,1,106.327,61.2903
320000,40000,1,106.108,61.414
320000,40000,1,121.706,60.2833
320000,40000,1,107.097,61.8195
320000,40000,1,114.542,67.2362
320000,40000,1,106.51,61.8688
320000,40000,1,109.051,62.8694
320000,40000,1,106.779,61.5973
320000,40000,1,108,62.8516
320000,40000,1,107.283,62.8893
320000,40000,1,112.552,62.9604
320000,40000,1,106.028,59.0037
320000,40000,1,105.526,59.2787
320000,40000,1,109.984,61.0906
320000,40000,1,114.488,60.4126
320000,40000,1,109.9,64.0763
320000,40000,1,113.695,63.381
320000,40000,1,108.793,60.3373
320000,40000,1,107.394,60.969
320000,40000,1,111.391,64.3494
320000,40000,1,111.765,61.038
320000,40000,1,104.574,58.0694
320000,40000,1,108.388,61.6441
320000,40000,1,108.957,62.4037
320000,40000,1,111.41,55.2394
320000,40000,1,109.224,61.7699
320000,40000,1,114.563,57.0799
320000,40000,1,102.199,55.575
320000,40000,1,116.555,60.7109
320000,40000,1,117.563,60.7297
320000,40000,1,105.388,58.1502
320000,40000,1,105.961,60.0331
320000,40000,1,110.902,55.6383
320000,40000,1,108.956,64.1485
320000,40000,1,108.673,55.8824
320000,40000,1,108.075,55.7406
320000,40000,1,111.671,55.0415
320000,40000,1,106.717,57.4372
320000,40000,1,109.2,55.2065
320000,40000,1,108.49,56.4263
320000,40000,1,109.842,54.6937
320000,40000,1,122.616,62.5066
320000,40000,1,143.086,86.2016
320000,40000,1,142.53,85.8078
320000,40000,1,107.639,60.1357
320000,40000,1,111.455,61.6775
320000,40000,1,105.699,58.0626
320000,40000,1,117.721,57.9339
320000,40000,1,110.359,63.594
320000,40000,1,108.956,62.6769
320000,40000,1,109.369,62.0115
320000,40000,1,110.254,61.2564
320000,40000,1,110.242,60.3494
320000,40000,1,125.223,71.7589
320000,40000,1,115.106,59.0809
320000,40000,1,107.462,62.2813
320000,40000,1,110.16,55.2855
320000,40000,1,110.09,64.4637
320000,40000,1,108.531,61.5884
320000,40000,1,108.721,63.3827
320000,40000,1,107.611,56.0245
320000,40000,1,109.459,58.044
320000,40000,1,108.83,55.5479
320000,40000,1,109.617,63.6808
320000,40000,1,110.722,64.0626
320000,40000,1,110.109,64.4599
320000,40000,1,110.507,63.6114
320000,40000,1,109.904,62.8496
320000,40000,1,108.275,62.0469
320000,40000,1,109.892,64.2945
320000,40000,1,107.502,56.4366
320000,40000,1,113.897,56.4415
320000,40000,1,109.101,61.7965
320000,40000,1,108.86,63.6887
320000,40000,1,108.727,62.1497
320000,40000,1,110.148,63.152
320000,40000,1,109.83,62.1154
320000,40000,1,112.134,65.2408
320000,40000,1,109.305,59.5531
320000,40000,1,106.059,58.9458
320000,40000,1,107.378,60.9559
320000,40000,1,110.484,65.8466
320000,40000,1,108.474,56.0864
320000,40000,1,108.198,56.1502
320000,40000,1,110.632,56.5705
320000,40000,1,108.478,64.395
320000,40000,1,109.351,56.5518
320000,40000,1,109.562,56.9973
320000,40000,1,108.781,55.0074
320000,40000,1,112.938,65.2748
320000,40000,1,108.723,59.745
320000,40000,1,116.119,68.7834
320000,40000,1,107.118,61.3386
320000,40000,1,111.635,63.4936
320000,40000,1,108.8,61.8877
320000,40000,1,109.797,62.7226
320000,40000,1,109.777,62.7995
320000,40000,1,107.655,61.9881
320000,40000,1,109.907,63.0137
320000,40000,1,109.115,63.5141
320000,40000,1,108.523,61.606
320000,40000,1,110.611,62.4486
320000,40000,1,108.877,61.8921
320000,40000,1,109.556,62.3608
320000,40000,1,108.031,61.7865
320000,40000,1,107.918,62.0059
320000,40000,1,112.088,63.3334
320000,40000,1,108.008,61.111
320000,40000,1,108.605,61.4461
320000,40000,1,108.486,62.1512
320000,40000,1,106.707,61.4853
320000,40000,1,110.938,64.8825
320000,40000,1,107.068,61.4251
320000,40000,1,111.623,63.1604
320000,40000,1,108.241,61.5727
320000,40000,1,110.324,63.5404
320000,40000,1,106,60.641
320000,40000,1,109.377,61.867
320000,40000,1,108.262,61.5334
320000,40000,1,108.319,62.9174
320000,40000,1,107.743,62.2593
320000,40000,1,108.554,56.8927
320000,40000,1,111.134,64.1695
320000,40000,1,106.207,60.2913
320000,40000,1,107.501,60.0914
320000,40000,1,105.938,59.3575
320000,40000,1,108.794,61.6438
320000,40000,1,110.249,61.6698
320000,40000,1,127.703,60.3074
320000,40000,1,107.672,54.7109
320000,40000,1,114.128,64.8382
320000,40000,1,121.478,70.3658
320000,40000,1,112.238,57.2388
320000,40000,1,108.889,54.5898
320000,40000,1,110.686,55.0922
320000,40000,1,109.218,61.7356
320000,40000,1,111.066,61.5546
320000,40000,1,106.166,59.8898
